,event_id,event_name,event_date,type,notes,location,status
0,rec0Si5cQ4rJRVzd6,March Meeting,2020-03-10T12:00:00,Meeting,,MU 215,Open
1,rec0akZnLLpGUloLH,Officers meeting - January,2020-01-14T09:30:00,Meeting,,,Open
2,rec0dZPcWXF0QjNnE,Spring Elections,2019-11-24T09:00:00,Election,All active members can vote for new officers between 4pm-8pm.,MU 215,Open
3,rec180D2MI4EpckHy,Officers meeting - March,2020-03-10T09:30:00,Meeting,,,Planning
4,rec2N69DMcrqN9PJC,Women's Soccer,2019-10-05T12:00:00,Game,Attend Women's soccer game as a group.,Campus Soccer/Lacrosse stadium,Closed
5,rec2mJrCofveboaz6,April Speaker,2020-04-21T12:00:00,Guest Speaker,,MU 215,Planning
6,rec5XDvJLyxDsGZWc,Laugh Out Loud,2019-10-24T13:00:00,Social,Semester social event. Optional attendance.,900 E. Washington St.,Closed
7,recAlAwtBZ0Fqbr5K,March Speaker,2020-03-24T12:00:00,Guest Speaker,,MU 215,Open
8,recEVTik3MlqbvLFi,October Speaker,2019-10-22T12:00:00,Guest Speaker,,MU 215,Closed
9,recGxVCwaLW3mDIa3,Football game,2019-09-12T06:00:00,Game,Attend school football game as a group.,Campus Football stadium,Closed
10,recHaMmaKyfktt5fW,February Speaker,2020-02-26T12:00:00,Guest Speaker,,MU 215,Open
11,recI43CzsZ0Q625ma,September Speaker,2019-09-24T12:00:00,Guest Speaker,,MU 215,Closed
12,recIuIXdbLe5j5vCA,Football game,2019-10-10T06:00:00,Game,Attend school football game as a group.,Campus Football stadium,Closed
13,recJ4Witp9tpjaugn,Officers meeting - November,2019-11-05T09:30:00,Meeting,,,Closed
14,recJcyZUsdhK2ukaY,Laugh Out Loud,2020-04-23T13:00:00,Social,Semester social event. Optional attendance.,900 E. Washington St.,Planning
15,recLKj8BbTNqxFbTb,Registration,2019-09-01T07:00:00,Registration,Students can stop by the table to get information on the club and register.,Campus Common,Closed
16,recLePFQvYN36qANI,Fall Elections,2020-04-26T09:00:00,Election,All active members can vote for new officers between 4pm-8pm.,MU 215,Planning
17,recLrY8kyOR1PcZeF,Officers meeting - April,2020-04-07T09:30:00,Meeting,,,Planning
18,recMKjJbWRgSQqf4Y,Officers meeting - September,2019-09-10T09:30:00,Meeting,Monthly officers meeting,MU 215,Closed
19,recQym2V7XkIEFFnr,Women's Lacrosse,2020-03-25T12:00:00,Game,Attend school Woman's Lacrosse game as a group.,Campus Soccer/Lacrosse stadium,Planning
20,recSdU7jGu57676tT,Habitat for Humanity,2020-03-19T01:00:00,Community Service,Volunteer opportunity to help paint new home.,258 S. Maple St.,Planning
21,recWJFyajeK4jCNYz,Officers meeting - February,2020-02-11T09:30:00,Meeting,,,Planning
22,recY3Yesu24bRK7tr,January Meeting,2020-01-14T12:00:00,Meeting,,MU 215,Open
23,recc8dizaKrSz3GmH,Officers meeting - October,2019-10-08T09:30:00,Meeting,,,Closed
24,receBpqENOUMQYsIP,Lacrosse game,2020-03-10T12:00:00,Game,Attend school teams Lacrosse game as a group.,Campus Soccer/Lacrosse stadium,Planning
25,recerGvehRmgO0obW,February Meeting,2020-02-11T12:00:00,Meeting,,MU 215,Open
26,recggMW2eyCYceNcy,October Meeting,2019-10-08T12:00:00,Meeting,,MU 215,Closed
27,reciRZdAqNIKuMC96,November Speaker,2019-11-19T12:00:00,Guest Speaker,,MU 215,Closed
28,reckYL4xtQWpkTJ8k,Fall Budget Review,2019-09-07T03:00:00,Budget,Officers and Budget Committee only,Conference Room BA 452,Closed
29,recmbOVHSyzXQZpQr,November Meeting,2019-11-05T12:00:00,Meeting,,MU 215,Open
30,recmvq6ZguK4MVmvx,Graffiti Removal,2020-02-20T02:00:00,Community Service,Volunteer opportunity to remove graffiti in town.,Various locations,Open
31,recoVo6dFSzG1ypX7,Kid's Care,2019-09-19T02:00:00,Community Service,Volunteer opportunity to pack backpacks for underprivileged youth.,45 N. Smith St.,Closed
32,recqh5zxHuDpKUu0i,Community Theater,2020-03-12T06:00:00,Social,Members and alumni can attend a community theater play at a reduced price. Active membership required.,100 W. Main Street,Planning
33,recs4x1BYWAsU2SKg,January Speaker,2020-01-28T12:00:00,Guest Speaker,,MU 215,Open
34,recsgSUqFCJqekzL5,Food Bank,2019-11-21T02:00:00,Community Service,Volunteer opportunity to sort donations for distribution.,1308 106th Ave.,Closed
35,rectmaqcYOtnxnRiB,Yearly Wrap-up,2020-05-05T12:00:00,Meeting,,MU 215,Planning
36,rectsBOijA23838qh,Spring Budget Review,2020-01-12T03:00:00,Budget,Officers and Budget Committee only,Conference Room BA 452,Open
37,recvCUOytx5jPw7kh,Community Theater,2019-10-12T06:00:00,Social,Members and alumni can attend a community theater play at a reduced price. Active membership required.,100 W. Main Street,Closed
38,recwM7GMBSLDlb1Ix,April Meeting,2020-04-07T12:00:00,Meeting,,MU 215,Open
39,recyYo8ZxGg9oJGys,Baseball game,2020-02-15T06:00:00,Game,Attend school teams baseball game as a group.,Campus Baseball Stadium,Open
40,recykdvf4LgsyA3wZ,Yearly Kickoff,2019-09-03T12:00:00,Meeting,,MU 215,Closed
41,reczhS8wix6Kzbp9P,September Meeting,2019-09-10T12:00:00,Meeting,,MU 215,Closed
